Model Name,Total Return Since Inception,Standard Deviation Since Inception,Total Return for 1 Year,Standard Deviation in 1 year,12 Month Yield,TOTAL NET EXPENSE RATIO
SS Absolute Return Model,2.57%,3.40%,3.88%,3.12%,3.86%,0.71%
SS Strategic 20-80 ETF Model,2.22%,9.24%,2.22%,9.24%,3.05%,0.15%
SS Strategic 40-60 ETF Model,5.39%,11.29%,5.39%,11.29%,2.70%,0.15%
SS Strategic 40-60 ETF/MF Model,0.02%,9.36%,5.46%,11.21%,2.70%,0.30%
SS Multi-Asset Income 60-40 ETF Model,2.91%,13.27%,8.69%,12.60%,4.58%,0.28%
SS Multi-Asset Income 60-40 Model,6.29%,11.10%,7.34%,12.43%,4.28%,0.46%
SS Multi-Asset Income 75-25 MF/ETF Model,2.87%,15.17%,9.54%,14.50%,4.53%,0.34%
SS Strategic 75-25 ETF Model,10.97%,15.49%,10.97%,15.49%,2.08%,0.14%
SS Strategic 100-0 ETF Model,14.80%,18.61%,14.80%,18.61%,1.66%,0.13%
SS Tactical 100-0 Model,5.93%,15.73%,14.24%,18.30%,1.51%,0.56%
